BrineInletPressure,BrineInletTemp,BrineOutletFlow,AmbientTemp,R134aPumpSpeed,TurboInletTemp,TurboExhaustPressure,TurboExhaustTemp,CondenserTemp,Gross,Cost,BrineOutletTemp
126.9,297.2,2736.0,30.5,1025.0,248.0,85.7,99.0,45.0,10.336,1.702,102.3
127.0,297.2,2734.0,29.8,1024.0,248.4,85.9,99.1,44.5,10.314,1.6799999999999997,101.5
127.2,297.3,2739.0,34.5,1022.0,249.5,85.9,101.3,45.6,10.277,1.754999999999999,103.4
127.3,297.3,2738.0,35.0,1021.0,249.5,85.6,102.6,45.6,10.259,1.7040000000000006,104.3
127.4,297.3,2737.0,35.3,1021.0,249.6,85.5,102.3,45.9,10.264,1.7109999999999985,104.3
127.6,297.4,2739.0,34.8,1021.0,249.4,85.8,102.0,45.7,10.264,1.7240000000000002,104.0
127.7,297.4,2741.0,35.5,1016.0,250.5,85.7,104.3,45.8,10.229,1.7149999999999999,104.8
127.8,297.4,2740.0,36.7,1005.0,253.1,85.9,110.9,46.0,10.091,1.6679999999999993,107.0
127.9,297.4,2740.0,37.4,1006.0,252.6,85.4,110.5,45.8,10.111,1.6850000000000005,106.6
127.9,297.5,2740.0,35.7,1010.0,251.8,85.6,108.6,45.3,10.164,1.6799999999999997,105.2
127.9,297.5,2738.0,36.0,1009.0,252.1,85.7,108.6,45.5,10.183,1.6739999999999995,105.7
127.9,297.4,2739.0,36.0,1009.0,252.2,85.5,108.7,45.6,10.174,1.6829999999999998,106.3
127.9,297.2,2740.0,37.8,1008.0,252.5,85.8,109.6,47.1,10.15,1.734,107.0
127.9,297.1,2741.0,41.3,1004.0,253.7,85.6,112.9,47.5,10.078,1.8289999999999988,108.2
127.9,296.9,2740.0,44.0,995.0,255.3,85.6,116.9,47.6,9.956,1.9109999999999996,109.8
127.9,296.7,2741.0,44.6,986.0,257.4,86.8,123.5,48.9,9.64,2.192,111.7
128.3,296.6,2740.0,44.7,983.0,257.7,88.8,126.0,50.1,9.4,2.24,113.1
128.9,296.4,2740.0,46.2,983.0,256.9,90.7,126.7,51.3,9.239,2.2360000000000007,113.5
129.5,296.3,2742.0,46.2,983.0,257.1,90.3,126.7,50.9,9.24,2.2439999999999998,113.5
